epoch, batch, loss, loss_e, e_mae, e/N_mae
    1,   144,        0.0064801,        0.0064801,           1.9919,         0.062248
    1,   145,           213.31,           213.31,            235.2,           7.3499
    1,   146,         0.005746,         0.005746,           2.0925,          0.06539
    1,   147,         0.015163,         0.015163,           3.8061,          0.11894
    1,   148,         0.074651,         0.074651,           7.1593,          0.22373
    1,   149,          0.08055,          0.08055,           8.2922,          0.25913
    1,   150,         0.058399,         0.058399,           7.0738,          0.22106
    1,   151,          0.20022,          0.20022,           13.911,          0.43471
    1,   152,         0.078877,         0.078877,           8.2927,          0.25915
    1,   153,          0.18564,          0.18564,           13.115,          0.40984
    1,   154,          0.17053,          0.17053,           12.564,          0.39261
    1,   155,           0.0347,           0.0347,           5.7155,          0.17861
    1,   156,           0.1554,           0.1554,           10.704,          0.33449
    1,   157,          0.14733,          0.14733,           11.831,          0.36971
    1,   158,          0.07488,          0.07488,           7.8277,          0.24462
    1,   159,         0.036014,         0.036014,            3.831,          0.11972
    1,   160,         0.082066,         0.082066,           8.7664,          0.27395
    1,   161,         0.035591,         0.035591,           5.4571,          0.17053
    1,   162,         0.032984,         0.032984,           5.4264,          0.16958
    1,   163,         0.096807,         0.096807,           9.4493,          0.29529
    1,   164,          0.03446,          0.03446,           5.2254,          0.16329
    1,   165,        0.0032848,        0.0032848,           1.4553,         0.045479
    1,   166,           0.0705,           0.0705,           7.8948,          0.24671
    1,   167,         0.043703,         0.043703,           5.9687,          0.18652
    1,   168,         0.079255,         0.079255,           7.6994,          0.24061
    1,   169,         0.040654,         0.040654,           6.3951,          0.19985
    1,   170,        0.0026212,        0.0026212,            1.298,         0.040564
    1,   171,        0.0040739,        0.0040739,           1.8769,         0.058652
    1,   172,         0.014716,         0.014716,           3.6095,           0.1128
    1,   173,        0.0092021,        0.0092021,           2.9616,          0.09255
    1,   174,        0.0058189,        0.0058189,           2.2873,         0.071478
    1,   175,         0.016755,         0.016755,            3.051,         0.095343
    1,   176,         0.016951,         0.016951,           3.9984,          0.12495
    1,   177,        0.0082512,        0.0082512,           2.5357,         0.079242
    1,   178,         0.013857,         0.013857,           3.1451,         0.098284
    1,   179,        0.0062469,        0.0062469,           2.0284,         0.063387
    1,   180,         0.016046,         0.016046,           3.3565,          0.10489
    1,   181,         0.012989,         0.012989,           2.9561,         0.092379
    1,   182,        0.0024598,        0.0024598,            1.385,         0.043281
    1,   183,        0.0084408,        0.0084408,           1.8242,         0.057005
    1,   184,        0.0055368,        0.0055368,           1.8804,         0.058762
    1,   185,         0.006387,         0.006387,           2.2982,         0.071818
    1,   186,         0.015101,         0.015101,            3.924,          0.12263
    1,   187,        0.0042559,        0.0042559,           1.6812,         0.052538
    1,   188,        0.0063472,        0.0063472,            2.298,         0.071811
    1,   189,       0.00047924,       0.00047924,          0.62867,         0.019646
    1,   190,         0.013939,         0.013939,           3.6983,          0.11557
    1,   191,        0.0034749,        0.0034749,           1.6177,         0.050552
    1,   192,        0.0030308,        0.0030308,           1.4967,         0.046773
    1,   193,          0.01214,          0.01214,           3.3685,          0.10526
    1,   194,        0.0037608,        0.0037608,           1.7367,         0.054271
    1,   195,        0.0017964,        0.0017964,           1.2056,         0.037676
    1,   196,        0.0060949,        0.0060949,           2.3879,         0.074621
    1,   197,         0.018065,         0.018065,           3.9431,          0.12322
    1,   198,        0.0014495,        0.0014495,           1.1356,         0.035487
    1,   199,        0.0048087,        0.0048087,           1.8055,         0.056421
    1,   200,         0.018669,         0.018669,            3.301,          0.10316
    1,   201,        0.0051277,        0.0051277,           2.1601,         0.067502
    1,   202,        0.0086503,        0.0086503,            1.928,         0.060252
    1,   203,       0.00037909,       0.00037909,          0.53882,         0.016838
    2,     1,        0.0028887,        0.0028887,           1.5762,         0.049255
    2,     2,        0.0032353,        0.0032353,           1.6314,         0.050982
    2,     3,        0.0092605,        0.0092605,           2.5803,         0.080635
    2,     4,        0.0031609,        0.0031609,           1.5785,         0.049329
    2,     5,       0.00084357,       0.00084357,          0.89545,         0.027983
    2,     6,        0.0051816,        0.0051816,           2.1514,          0.06723
    2,     7,        0.0021142,        0.0021142,            1.246,         0.038939
    2,     8,       0.00090292,       0.00090292,          0.87823,         0.027445
    2,     9,        0.0024488,        0.0024488,           1.5006,         0.046893
    2,    10,        0.0013414,        0.0013414,          0.92522,         0.028913
    2,    11,        0.0018442,        0.0018442,           1.2036,         0.037611
    2,    12,        0.0026055,        0.0026055,           1.4202,          0.04438
    2,    13,        0.0013366,        0.0013366,           1.0388,         0.032463
    2,    14,        0.0017519,        0.0017519,            1.103,         0.034469
    2,    15,        0.0021592,        0.0021592,           1.3843,         0.043258
    2,    16,        0.0087876,        0.0087876,           2.7404,         0.085639
    2,    17,         0.017137,         0.017137,           3.4094,          0.10654
    2,    18,        0.0050443,        0.0050443,           1.6567,         0.051771
    2,    19,       0.00096199,       0.00096199,          0.97076,         0.030336
    2,    20,        0.0025377,        0.0025377,           1.3592,         0.042475
    2,    21,        0.0049906,        0.0049906,           1.8187,         0.056835
    2,    22,        0.0058417,        0.0058417,           2.2528,           0.0704
    2,    23,        0.0051804,        0.0051804,           2.1145,         0.066079
    2,    24,        0.0027743,        0.0027743,           1.4745,         0.046079
    2,    25,        0.0017942,        0.0017942,           1.2319,         0.038497
    2,    26,        0.0044498,        0.0044498,           1.9785,         0.061829
    2,    27,        0.0018107,        0.0018107,           1.2187,         0.038084
    2,    28,        0.0018397,        0.0018397,           1.3152,         0.041099
    2,    29,        0.0057977,        0.0057977,           2.4086,          0.07527
    2,    30,        0.0014756,        0.0014756,          0.82959,         0.025925
    2,    31,        0.0027567,        0.0027567,           1.4783,         0.046197
    2,    32,        0.0027222,        0.0027222,           1.2637,         0.039492
    2,    33,        0.0017737,        0.0017737,           1.0264,         0.032075
    2,    34,       0.00099824,       0.00099824,          0.94342,         0.029482
    2,    35,        0.0013332,        0.0013332,           1.0977,         0.034302
    2,    36,        0.0046983,        0.0046983,           1.1907,         0.037208
    2,    37,        0.0086147,        0.0086147,           2.1791,         0.068096
    2,    38,        0.0027183,        0.0027183,           1.3845,         0.043266
    2,    39,         0.024308,         0.024308,           3.7437,          0.11699
    2,    40,        0.0011648,        0.0011648,          0.98294,         0.030717
    2,    41,         0.003349,         0.003349,           1.1775,         0.036796
    2,    42,        0.0021052,        0.0021052,           1.4407,         0.045021
